Hour,Apparent,Temperature
22,5.405555556,7.827777778
23,6.122222222,7.855555556
0,6.211111111,7.316666667
1,6.005555556,7.244444444
2,5.438888889,5.438888889
3,4.55,7.2
4,3.161111111,6.688888889
5,2.694444444,6.211111111
6,2.8,6.111111111
7,2.438888889,6.111111111
8,2.922222222,6.172222222
9,3.833333333,7.222222222
10,4.244444444,7.288888889
11,4.816666667,7.405555556
12,6.072222222,7.961111111
13,7.583333333,8.033333333
14,9.077777778,9.077777778
15,9.05,9.05
16,9.05,9.05
17,9.183333333,9.183333333
18,7.455555556,9.072222222
19,6.811111111,7.983333333
20,6.433333333,8.072222222
21,6.127777778,7.894444444
22,4.805555556,7.311111111
23,5.183333333,7.338888889
0,4.111111111,6.622222222
1,3.411111111,6.066666667
2,8.338888889,8.338888889
3,4.111111111,5.183333333
4,2.566666667,3.722222222
5,3.705555556,4.855555556
6,5.211111111,5.211111111
7,4.638888889,6.255555556
8,6.055555556,7.794444444
9,10.05,10.05
10,12.2,12.2
11,12.7,12.7
12,13.93333333,13.93333333
13,15.09444444,15.09444444
14,15.15,15.15
15,16.17777778,16.17777778
16,16.25,16.25
17,16.29444444,16.29444444
18,16.1,16.1
19,12.95555556,12.95555556
20,13.85,13.85
21,12.77777778,12.77777778
22,12.15,12.15
23,10.67777778,10.67777778
0,10.44444444,10.44444444
1,9.466666667,9.822222222
2,11.02777778,11.02777778
3,7.138888889,7.138888889
4,5.644444444,7.622222222
5,6.611111111,7.627777778
6,4.855555556,7.044444444
7,7.038888889,8.6
8,7.383333333,9.65
9,12.10555556,12.10555556
10,12.77777778,12.77777778
11,13.81111111,13.81111111
12,16.01666667,16.01666667
13,17.12777778,17.12777778
14,17.14444444,17.14444444
15,17.77777778,17.77777778
16,17.77777778,17.77777778
17,17.80555556,17.80555556
18,16.15555556,16.15555556
19,14.05,14.05
20,13.08888889,13.08888889
21,12.28888889,12.28888889
22,12.77777778,12.77777778
23,12.72777778,12.72777778
0,12.26666667,12.26666667
1,11.71111111,11.71111111
2,10.82777778,10.82777778
3,12.2,12.2
4,12.2,12.2
5,11.68888889,11.68888889
6,11.20555556,11.20555556
7,11.13333333,11.13333333
8,11.43888889,11.43888889
9,13.03333333,13.03333333
10,17.24444444,17.24444444
11,17.73888889,17.73888889
12,17.84444444,17.84444444
13,18.86111111,18.86111111
14,18.66666667,18.66666667
15,17.82222222,17.82222222
16,17.8,17.8
17,17.35,17.35
18,16.06666667,16.06666667
19,14.93333333,14.93333333
20,13.92222222,13.92222222
21,12.75555556,12.75555556
22,12.75555556,12.75555556
23,12.37222222,12.37222222
0,11.18333333,11.18333333
1,11.66666667,11.66666667
2,7.366666667,8.977777778
3,10.57777778,10.57777778
4,10.53333333,10.53333333
5,10.58888889,10.58888889
6,9.283333333,9.983333333
7,11.02222222,11.02222222
8,13.53888889,13.53888889
9,13.88888889,13.88888889
10,15,15
11,17.18333333,17.18333333
12,16.2,16.2
13,17.75,17.75
14,18.40555556,18.40555556
15,17.82222222,17.82222222
16,17.31111111,17.31111111
17,17.50555556,17.50555556
18,17.26666667,17.26666667
19,15.13888889,15.13888889
20,13.25,13.25
21,12.29444444,12.29444444
22,10.7,10.7
23,9.388888889,9.855555556
0,7.861111111,9.522222222
1,8.405555556,8.405555556
2,13.01111111,13.01111111
3,7.733333333,7.733333333
4,6.138888889,6.138888889
5,6.472222222,6.472222222
6,6.627777778,6.627777778
7,8.688888889,8.688888889
8,11.99444444,11.99444444
9,13.76666667,13.76666667
10,15.08888889,15.08888889
11,16.45555556,16.45555556
12,17.31111111,17.31111111
13,17.87222222,17.87222222
14,19.03888889,19.03888889
15,18.97777778,18.97777778
16,19.00555556,19.00555556
17,19.01111111,19.01111111
18,17.86666667,17.86666667
19,17.26666667,17.26666667
20,16.18888889,16.18888889
21,14.88333333,14.88333333
22,14.32777778,14.32777778
23,14.51111111,14.51111111
0,14.37222222,14.37222222
1,14.87777778,14.87777778
2,10.40555556,10.40555556
3,12.82222222,12.82222222
4,12.8,12.8
5,12.82777778,12.82777778
6,12.26666667,12.26666667
7,12.26666667,12.26666667
8,12.18333333,12.18333333
9,12.17222222,12.17222222
10,12.71111111,12.71111111
11,15.60555556,15.60555556
12,16.02222222,16.02222222
13,17.2,17.2
14,17.21666667,17.21666667
15,17.82777778,17.82777778
16,17.82777778,17.82777778
17,17.73333333,17.73333333
18,16.27222222,16.27222222
19,13.16666667,13.16666667
20,13.25555556,13.25555556
21,13.01111111,13.01111111
22,12.45555556,12.45555556
23,12.48888889,12.48888889
0,8.85,9.555555556
1,10.62222222,10.62222222
2,8.722222222,8.722222222
3,10.53333333,10.53333333
4,8.705555556,9.444444444
5,9.327777778,9.888888889
6,10.36666667,10.36666667
7,7.233333333,8.888888889
8,8.994444444,9.977777778
9,12.2,12.2
10,13.96111111,13.96111111
11,14.94444444,14.94444444
12,16.18333333,16.18333333
13,16.36666667,16.36666667
14,17.37222222,17.37222222
15,17.67222222,17.67222222
16,17.72222222,17.72222222
17,16.23888889,16.23888889
18,14.06666667,14.06666667
19,13.95555556,13.95555556
20,12.28888889,12.28888889
21,10.02222222,10.02222222
22,8.65,9.377777778
23,9.416666667,9.416666667
0,11.82777778,11.82777778
1,10.76111111,10.76111111
2,12.15555556,12.15555556
3,9.188888889,9.672222222
4,7.15,8.15
5,10.2,10.2
6,10.11666667,10.11666667
7,10.16111111,10.16111111
8,11.24444444,11.24444444
9,12.24444444,12.24444444
10,13.91111111,13.91111111
11,15.61666667,15.61666667
12,15.07222222,15.07222222
13,15.07222222,15.07222222
14,14.26666667,14.26666667
15,16.01666667,16.01666667
16,15.02777778,15.02777778
17,13.94444444,13.94444444
18,12.91666667,12.91666667
19,12.89444444,12.89444444
20,12.4,12.4
21,12.26666667,12.26666667
22,12.22222222,12.22222222
23,11.25,11.25
0,11.52777778,11.52777778
1,11.53888889,11.53888889
2,8.85,9.438888889
3,11.43888889,11.43888889
4,11.39444444,11.39444444
5,11.52777778,11.52777778
6,11.95,11.95
7,11.97222222,11.97222222
8,12.63333333,12.63333333
9,12.75555556,12.75555556
10,13.84444444,13.84444444
11,13.17222222,13.17222222
12,15.06666667,15.06666667
13,17.24444444,17.24444444
14,16.31666667,16.31666667
15,17.38333333,17.38333333
16,15.27222222,15.27222222
17,17.45555556,17.45555556
18,16.22222222,16.22222222
19,15.08333333,15.08333333
20,13.99444444,13.99444444
21,12.17222222,12.17222222
22,11.08888889,11.08888889
23,11.09444444,11.09444444
0,9.883333333,9.883333333
1,8.633333333,9.355555556
2,9.861111111,9.861111111
3,8.272222222,8.272222222
4,8.866666667,8.866666667
5,8.816666667,8.816666667
6,7.155555556,7.155555556
7,8.85,8.85
8,11.17777778,11.17777778
9,12.38888889,12.38888889
10,14.14444444,14.14444444
11,17.1,17.1
12,18.93888889,18.93888889
13,17.91666667,17.91666667
14,19.98333333,19.98333333
15,20.07222222,20.07222222
16,20.07222222,20.07222222
17,20.08333333,20.08333333
18,19.08888889,19.08888889
19,17.45,17.45
20,15.56666667,15.56666667
21,12.49444444,12.49444444
22,12.24444444,12.24444444
23,11.41666667,11.41666667
0,10.55555556,10.55555556
1,10.46666667,10.46666667
2,10.25,10.25
3,9.355555556,9.355555556
4,8.311111111,8.311111111
5,8.811111111,8.811111111
6,7.933333333,8.733333333
7,11.93333333,11.93333333
8,14.51666667,14.51666667
9,18.73333333,18.73333333
10,20.02777778,20.02777778
11,21.03888889,21.03888889
12,20.73888889,20.73888889
13,22.31666667,22.31666667
14,22.11111111,22.11111111
15,22.73333333,22.73333333
16,22.77777778,22.77777778
17,21.21666667,21.21666667
18,20.18333333,20.18333333
19,18.01111111,18.01111111
20,17.42222222,17.42222222
21,13.96111111,13.96111111
22,13.28888889,13.28888889
23,12.32222222,12.32222222
0,11.11666667,11.11666667
1,10.53333333,10.53333333
2,12.38333333,12.38333333
3,9.861111111,9.861111111
4,8.872222222,8.872222222
5,8.672222222,8.672222222
6,7.688888889,7.688888889
7,10.91111111,10.91111111
8,14.83888889,14.83888889
9,18.8,18.8
10,21.09444444,21.09444444
11,22.02777778,22.02777778
12,22.82777778,22.82777778
13,22.91666667,22.91666667
14,23.91666667,23.91666667
15,23.91111111,23.91111111
16,23.93333333,23.93333333
17,23.91666667,23.91666667
18,22.82222222,22.82222222
19,21.22777778,21.22777778
20,19.07777778,19.07777778
21,17.06111111,17.06111111
22,14.90555556,14.90555556
23,13.08333333,13.08333333
0,12.71111111,12.71111111
1,12.12777778,12.12777778
2,11.81111111,11.81111111
3,12.01666667,12.01666667
4,12.04444444,12.04444444
5,10.62777778,10.62777778
6,8.688888889,9.911111111
7,12.55555556,12.55555556
8,15.00555556,15.00555556
9,17.33888889,17.33888889
10,19.1,19.1
11,21.26111111,21.26111111
12,22.41111111,22.41111111
13,22.93888889,22.93888889
14,23.92777778,23.92777778
15,23.96111111,23.96111111
16,23.96111111,23.96111111
17,23.11111111,23.11111111
18,22.82222222,22.82222222
19,21.11111111,21.11111111
20,18.18888889,18.18888889
21,16.01666667,16.01666667
22,15.46666667,15.46666667
23,14.60555556,14.60555556
0,13.31111111,13.31111111
1,12.73333333,12.73333333
2,13.78888889,13.78888889
3,10.57777778,10.57777778
4,10.48333333,10.48333333
5,10.28888889,10.28888889
6,9.972222222,9.972222222
7,13.63888889,13.63888889
8,16.73888889,16.73888889
9,18.83888889,18.83888889
10,21.16111111,21.16111111
11,22.58888889,22.58888889
12,22.89444444,22.89444444
13,24.00555556,24.00555556
14,24.00555556,24.00555556
15,23.97777778,23.97777778
16,25.04444444,25.04444444
17,24.07777778,24.07777778
18,22.38333333,22.38333333
19,21.20555556,21.20555556
20,18.26111111,18.26111111
21,17.2,17.2
22,15.99444444,15.99444444
23,15.96111111,15.96111111
0,15.44444444,15.44444444
1,14.37222222,14.37222222
2,13.60555556,13.60555556
3,12.82222222,12.82222222
4,12.75,12.75
5,11.41666667,11.41666667
6,12.33333333,12.33333333
7,14.90555556,14.90555556
8,15.89444444,15.89444444
9,17.22777778,17.22777778
10,17.82777778,17.82777778
11,17.91666667,17.91666667
12,19.05555556,19.05555556
13,20.14444444,20.14444444
14,20.26111111,20.26111111
15,21.20555556,21.20555556
16,21.25555556,21.25555556
17,20.23333333,20.23333333
18,19.07777778,19.07777778
19,17.94444444,17.94444444
20,15.49444444,15.49444444
21,14.14444444,14.14444444
22,14.53888889,14.53888889
23,14.13888889,14.13888889
0,13.4,13.4
1,13.42777778,13.42777778
2,11.58888889,11.58888889
3,14.42222222,14.42222222
4,13.91666667,13.91666667
5,13.4,13.4
6,13.86666667,13.86666667
7,14.90555556,14.90555556
8,15.93333333,15.93333333
9,17.12777778,17.12777778
10,18.75,18.75
11,18.96111111,18.96111111
12,19.99444444,19.99444444
13,21.11111111,21.11111111
14,21.09444444,21.09444444
15,21.17777778,21.17777778
16,21.22777778,21.22777778
17,20.1,20.1
18,19.02777778,19.02777778
19,17.85,17.85
20,16.26111111,16.26111111
21,14.98333333,14.98333333
22,14.46666667,14.46666667
23,13.94444444,13.94444444
0,12.31666667,12.31666667
1,11.76111111,11.76111111
2,10.82777778,10.82777778
3,10.13888889,10.13888889
4,10.62777778,10.62777778
5,10.60555556,10.60555556
6,10.07222222,10.07222222
7,11.16111111,11.16111111
8,12.88888889,12.88888889
9,15.05,15.05
10,15.16111111,15.16111111
11,16.27222222,16.27222222
12,17.8,17.8
13,17.93888889,17.93888889
14,18.85555556,18.85555556
15,17.98888889,17.98888889
16,17.96111111,17.96111111
17,17.36111111,17.36111111
18,16.25,16.25
19,14.12222222,14.12222222
20,12.95,12.95
21,12.24444444,12.24444444
22,11.68888889,11.68888889
23,11.15555556,11.15555556
0,8.627777778,9.216666667
1,8.2,8.683333333
2,7.3,9.188888889
3,7.788888889,8.594444444
4,7.505555556,7.505555556
5,4.194444444,6.216666667
6,5.855555556,5.855555556
7,5.933333333,5.933333333
8,10.40555556,10.40555556
9,12.54444444,12.54444444
10,13.86111111,13.86111111
11,15.97777778,15.97777778
12,17.26666667,17.26666667
13,17.84444444,17.84444444
14,16.42777778,16.42777778
15,17.77777778,17.77777778
16,17.84444444,17.84444444
17,17.3,17.3
18,15.18333333,15.18333333
19,13.00555556,13.00555556
20,12.69444444,12.69444444
21,12.19444444,12.19444444
22,12.08333333,12.08333333
23,10.61666667,10.61666667
0,11.6,11.6
1,11.02222222,11.02222222
2,11.88888889,11.88888889
3,10.41666667,10.41666667
4,10.3,10.3
5,7.5,9.483333333
6,7.933333333,9.772222222
7,10.93333333,10.93333333
8,11.65555556,11.65555556
9,13.93888889,13.93888889
10,15.02777778,15.02777778
11,16.03888889,16.03888889
12,15.22777778,15.22777778
13,16.20555556,16.20555556
14,17.3,17.3
15,17.77777778,17.77777778
16,17.8,17.8
17,17.26111111,17.26111111
18,17.2,17.2
19,15.02222222,15.02222222
20,13.92777778,13.92777778
21,12.36666667,12.36666667
22,12.29444444,12.29444444
23,12.78888889,12.78888889
0,8.677777778,9.533333333
1,7.966666667,9.972222222
2,4.911111111,4.911111111
3,5.855555556,7.916666667
4,4.755555556,7.383333333
5,5.894444444,7.972222222
6,6.538888889,8.816666667
7,5.555555556,8.794444444
8,4.088888889,7.888888889
9,4.333333333,7.8
10,5.35,7.822222222
11,6.233333333,7.944444444
12,5.455555556,8.077777778
13,10.22777778,10.22777778
14,11.36111111,11.36111111
15,12.45,12.45
16,12.91666667,12.91666667
17,12.55,12.55
18,12.38333333,12.38333333
19,10.22777778,10.22777778
20,7.811111111,9.227777778
21,6.622222222,7.827777778
22,5.727777778,6.677777778
23,4.938888889,6.122222222
0,4.15,5.327777778
1,1.705555556,4.355555556
2,9.272222222,9.272222222
3,2.866666667,4.261111111
4,1.666666667,3.216666667
5,2.516666667,3.905555556
6,0.472222222,2.711111111
7,2.644444444,3.816666667
8,5.105555556,6.883333333
9,6.533333333,8.938888889
10,11.20555556,11.20555556
11,12.85,12.85
12,13.96111111,13.96111111
13,14.97777778,14.97777778
14,14.02777778,14.02777778
15,15.02222222,15.02222222
16,15.04444444,15.04444444
17,15.08888889,15.08888889
18,14.95,14.95
19,13.81666667,13.81666667
20,12.91666667,12.91666667
21,13.83888889,13.83888889
22,12.75555556,12.75555556
23,12.65,12.65
0,11.68888889,11.68888889
1,10.62777778,10.62777778
2,3.755555556,5.666666667
3,10.05,10.05
4,9.977777778,9.977777778
5,9.377777778,9.777777778
6,8.661111111,8.661111111
7,4.261111111,7.55
8,4.683333333,7.233333333
9,2.011111111,6.044444444
10,2.233333333,6.094444444
11,2.25,6.116666667
12,2.705555556,6.066666667
13,2.711111111,6.038888889
14,3.205555556,6.888888889
15,4.15,7.061111111
16,2.344444444,6.038888889
17,2.305555556,6.072222222
18,1.055555556,5.044444444
19,1.944444444,5.022222222
20,1.816666667,5.033333333
21,2.438888889,5
22,1.877777778,4.977777778
23,1.538888889,4.933333333
0,1.277777778,4.466666667
1,1.194444444,4.444444444
2,1.044444444,4.011111111
3,1.844444444,4.905555556
4,2.35,4.883333333
5,1.277777778,4.388888889
6,1.288888889,4.838888889
7,1.483333333,4.811111111
8,1.244444444,4.944444444
9,4.166666667,7.2
10,5.022222222,7.777777778
11,6.65,8.727777778
12,6.055555556,8.983333333
13,7.1,10
14,10.09444444,10.09444444
15,11.06111111,11.06111111
16,10.13888889,10.13888889
17,11.01111111,11.01111111
18,10.11666667,10.11666667
19,7.916666667,7.916666667
20,7.333333333,7.333333333
21,5.05,5.05
22,2.422222222,3.933333333
23,2.583333333,4.094444444
0,2.288888889,3.8
1,-0.155555556,2.688888889
2,3.938888889,5.066666667
3,0.961111111,2.6
4,-0.161111111,1.583333333
5,2.155555556,2.155555556
6,0.955555556,0.955555556
7,0.955555556,0.955555556
8,5.594444444,5.594444444
9,7.777777778,9.822222222
10,11.07222222,11.07222222
11,11.05555556,11.05555556
12,12.24444444,12.24444444
13,12.85,12.85
14,12.88888889,12.88888889
15,12.91666667,12.91666667
16,13.88888889,13.88888889
17,13.02222222,13.02222222
18,12.38333333,12.38333333
19,10.20555556,10.20555556
20,8.088888889,9.144444444
21,6.1,7.827777778
22,6.672222222,7.733333333
23,6.138888889,7.144444444
0,4.783333333,6.016666667
1,4.077777778,5.461111111
2,5.988888889,8.244444444
3,2.194444444,3.838888889
4,2.244444444,2.244444444
5,0.227777778,2.022222222
6,-0.866666667,2.172222222
7,0.911111111,3.661111111
8,3.638888889,6.111111111
9,10.00555556,10.00555556
10,12.24444444,12.24444444
11,12.93888889,12.93888889
12,13.98333333,13.98333333
13,15.09444444,15.09444444
14,16.25,16.25
15,17.26666667,17.26666667
16,17.28888889,17.28888889
17,17.38888889,17.38888889
18,17.28888889,17.28888889
19,15.08888889,15.08888889
20,11.71111111,11.71111111
21,11.16111111,11.16111111
22,10.02777778,10.02777778
23,10.13888889,10.13888889
0,21.01666667,21.01666667
1,19.44444444,19.44444444
2,20.72222222,20.72222222
3,18.79444444,18.79444444
4,17.73333333,17.73333333
5,17.60555556,17.60555556
6,18.73333333,18.73333333
7,22.55555556,22.55555556
8,24.76111111,24.76111111
9,28.03333333,27.17222222
10,30.13888889,28.91111111
11,31.17222222,30.95555556
12,32.22222222,32.17222222
13,31.27222222,32.12777778
14,31.41111111,31.98333333
15,32.68888889,32.53888889
16,32.16111111,31.97777778
17,32.51111111,32.01111111
18,30.75,30.94444444
19,29.15,28.57222222
20,28.15,27.09444444
21,24.69444444,24.69444444
22,24.13888889,24.13888889
23,23.12222222,23.12222222
0,15.56111111,15.56111111
1,15.49444444,15.49444444
2,16.53888889,16.53888889
3,13.8,13.8
4,13.31666667,13.31666667
5,12.60555556,12.60555556
6,12.32777778,12.32777778
7,14.96666667,14.96666667
8,16.26111111,16.26111111
9,16.25,16.25
10,18.88888889,18.88888889
11,21.35,21.35
12,21.20555556,21.20555556
13,22.33888889,22.33888889
14,23.03333333,23.03333333
15,23.91111111,23.91111111
16,24.97777778,24.97777778
17,23.8,23.8
18,23.59444444,23.59444444
19,22.50555556,22.50555556
20,20.01666667,20.01666667
21,19.91111111,19.91111111
22,19.35555556,19.35555556
23,17.88333333,17.88333333
0,17.25,17.25
1,16.62777778,16.62777778
2,15.84444444,15.84444444
3,17,17
4,17.06666667,17.06666667
5,16.50555556,16.50555556
6,14.98333333,14.98333333
7,16.02222222,16.02222222
8,16.16111111,16.16111111
9,18.84444444,18.84444444
10,21.11666667,21.11666667
11,22.50555556,22.50555556
12,23.79444444,23.79444444
13,23.88888889,23.88888889
14,25.83333333,25.83333333
15,25.92777778,25.92777778
16,25,25
17,24.94444444,24.94444444
18,24.92777778,24.92777778
19,22.8,22.8
20,19.33888889,19.33888889
21,17.80555556,17.80555556
22,17.78333333,17.78333333
23,16.48888889,16.48888889
0,15.69444444,15.69444444
1,15.62777778,15.62777778
2,16.21111111,16.21111111
3,15.57777778,15.57777778
4,15.57777778,15.57777778
5,15.60555556,15.60555556
6,15.05,15.05
7,17.06666667,17.06666667
8,17.48333333,17.48333333
9,17.66666667,17.66666667
10,18.8,18.8
11,19.68333333,19.68333333
12,18.82222222,18.82222222
13,20,20
14,21.15,21.15
15,23.65555556,23.65555556
16,23.61666667,23.61666667
17,23.81666667,23.81666667
18,22.03888889,22.03888889
19,19.95,19.95
20,18.92222222,18.92222222
21,17.26666667,17.26666667
22,16.17777778,16.17777778
23,15.83333333,15.83333333
0,16.73333333,16.73333333
1,16.71111111,16.71111111
2,16.26666667,16.26666667
3,16.13888889,16.13888889
4,16.08888889,16.08888889
5,15.55555556,15.55555556
6,14.51666667,14.51666667
7,17.08888889,17.08888889
8,17.66666667,17.66666667
9,19.79444444,19.79444444
10,22.01666667,22.01666667
11,21.13888889,21.13888889
12,21.04444444,21.04444444
13,18.93888889,18.93888889
14,18.91666667,18.91666667
15,20.05,20.05
16,21.06666667,21.06666667
17,20.05,20.05
18,20,20
19,18.86666667,18.86666667
20,17.95555556,17.95555556
21,17.71111111,17.71111111
22,17.73333333,17.73333333
23,16.79444444,16.79444444
0,16.66666667,16.66666667
1,16.16111111,16.16111111
2,17.01111111,17.01111111
3,16.11666667,16.11666667
4,16.11666667,16.11666667
5,15.55555556,15.55555556
6,14.00555556,14.00555556
7,16.11666667,16.11666667
8,16.05,16.05
9,16.21111111,16.21111111
10,17.80555556,17.80555556
11,18.88333333,18.88333333
12,20.18888889,20.18888889
13,22.26666667,22.26666667
14,22.35555556,22.35555556
15,23.86666667,23.86666667
16,23.88888889,23.88888889
17,22.95555556,22.95555556
18,22.47777778,22.47777778
19,20.85555556,20.85555556
20,19.16111111,19.16111111
21,17.73333333,17.73333333
22,18.23888889,18.23888889
23,17.81666667,17.81666667
0,17.71111111,17.71111111
1,17.2,17.2
2,15.30555556,15.30555556
3,16.55,16.55
4,16.09444444,16.09444444
5,15.55,15.55
6,14.93333333,14.93333333
7,17.08888889,17.08888889
8,18.65555556,18.65555556
9,19.81111111,19.81111111
10,21.06111111,21.06111111
11,22.20555556,22.20555556
12,22.75,22.75
13,23.79444444,23.79444444
14,23.48333333,23.48333333
15,23.96111111,23.96111111
16,24.95,24.95
17,23.95555556,23.95555556
18,23.95555556,23.95555556
19,23.86111111,23.86111111
20,19.26666667,19.26666667
21,17.28888889,17.28888889
22,16.62222222,16.62222222
23,16.67222222,16.67222222
0,15.07222222,15.07222222
1,14.51666667,14.51666667
2,17.84444444,17.84444444
3,14.44444444,14.44444444
4,13.88888889,13.88888889
5,14.43333333,14.43333333
6,14.92777778,14.92777778
7,17.04444444,17.04444444
8,18.78888889,18.78888889
9,21.16111111,21.16111111
10,23.86666667,23.86666667
11,24.96666667,24.96666667
12,26.13333333,26.13333333
13,27.26111111,27.22222222
14,27.35555556,27.73888889
15,27.5,27.77777778
16,27.4,27.8
17,27.37777778,27.87222222
18,26.15555556,26.15555556
19,23.97777778,23.97777778
20,22.57222222,22.57222222
21,21.13888889,21.13888889
22,20.43888889,20.43888889
23,20.42777778,20.42777778
0,19.35555556,19.35555556
1,18.75,18.75
2,19.87777778,19.87777778
3,17.22222222,17.22222222
4,16.64444444,16.64444444
5,16.55,16.55
6,16.09444444,16.09444444
7,17.66666667,17.66666667
8,20.78333333,20.78333333
9,22.73333333,22.73333333
10,26.01666667,26.01666667
11,26.12777778,26.12777778
12,29.61111111,28.83888889
13,29.75,29.00555556
14,31.71111111,31.03333333
15,30.6,31.13333333
16,31.26111111,31.13333333
17,31.32777778,31.21111111
18,30.70555556,30.02222222
19,29.07222222,27.87222222
20,25.40555556,25.40555556
21,22.75555556,22.75555556
22,22.68888889,22.68888889
23,21.2,21.2
0,21.55,21.55
1,21.43888889,21.43888889
2,19.50555556,19.50555556
3,19.86111111,19.86111111
4,19.33333333,19.33333333
5,18.75,18.75
6,18.84444444,18.84444444
7,19.91111111,19.91111111
8,22.10555556,22.10555556
9,24.95,24.95
10,25,25
11,29.12777778,27.3
12,29.62777778,27.96666667
13,31.27222222,30.11666667
14,31.68888889,31.04444444
15,32.45555556,31.20555556
16,32.91111111,32.17222222
17,33.17777778,32.54444444
18,31.62222222,31.03888889
19,30.16666667,28.95555556
20,26.47777778,26.47777778
21,22.91666667,22.91666667
22,23.38333333,23.38333333
23,22.45,22.45
0,22.6,22.6
1,19.98333333,19.98333333
2,20.95555556,20.95555556
3,18.87222222,18.87222222
4,18.33888889,18.33888889
5,18.85,18.85
6,17.27777778,17.27777778
7,19.91666667,19.91666667
8,23.6,23.6
9,25.99444444,25.99444444
10,28.62222222,27.73333333
11,29.36666667,28.79444444
12,30.38888889,29.88333333
13,31.59444444,30.97222222
14,32.42222222,31.91666667
15,32.75,32.12777778
16,32.22777778,32.12777778
17,31.68888889,31.08333333
18,31.62222222,31.01666667
19,28.80555556,27.26666667
20,25.45555556,25.45555556
21,22.8,22.8
22,23.21666667,23.21666667
23,22.23888889,22.23888889
0,20.41666667,20.41666667
1,19.88333333,19.88333333
2,16.81111111,16.81111111
3,19.37777778,19.37777778
4,18.86666667,18.86666667
5,18.88333333,18.88333333
6,17.87222222,17.87222222
7,18.93888889,18.93888889
8,20.08888889,20.08888889
9,21.08888889,21.08888889
10,22.17777778,22.17777778
11,23.53333333,23.53333333
12,23.84444444,23.84444444
13,24.95555556,24.95555556
14,25.92222222,25.92222222
15,24.96111111,24.96111111
16,24.79444444,24.79444444
17,23.75555556,23.75555556
18,22.12777778,22.12777778
19,21.06111111,21.06111111
20,21.06666667,21.06666667
21,18.86666667,18.86666667
22,18.26666667,18.26666667
23,17.87777778,17.87777778
0,21.08888889,21.08888889
1,21.55,21.55
2,18.78333333,18.78333333
3,19.97777778,19.97777778
4,20.99444444,20.99444444
5,19.98888889,19.98888889
6,18.86666667,18.86666667
7,22.08888889,22.08888889
8,23.77222222,23.77222222
9,28.33888889,27.17777778
10,30.06111111,28.79444444
11,33.38333333,30.86111111
12,33.46111111,32.03888889
13,35.49444444,32.58888889
14,34.13333333,32.63888889
15,32.97777778,32.15
16,31.9,31.08333333
17,32.73888889,32.07777778
18,31.72222222,30.97222222
19,30.12777778,28.86111111
20,26.41111111,26.41111111
21,23.81666667,23.81666667
22,23.31111111,23.31111111
23,24.53888889,24.53888889
0,21.96666667,21.96666667
1,19.88333333,19.88333333
2,14.98888889,14.98888889
3,17.77777778,17.77777778
